"k","accuracy"
1,0.971098265895954
3,0.959537572254335
5,0.959537572254335
7,0.959537572254335
9,0.953757225433526
11,0.947976878612717
13,0.953757225433526
15,0.953757225433526
17,0.942196531791908
19,0.942196531791908
